doi,title,abstract,authors,orcid_ids,affiliations,published_date,journal_title,publisher,keywords,topics
10.1080/13670059908666243a,An Introduction to Mathematical Finance by Sheldon M Ross,,K. P. Zetie,0000-0002-1188-4361,,2001-03-01,Quantitative Finance,Informa UK Limited,Mathematical economics; Mathematical finance; Economics; Financial economics; Mathematics,Economic theories and models
10.1080/14697680300000005,One-state variable binomial models for European-/ American-style geometric Asian options,"Geometric Asian options are path-dependent options whose payoffs depend on the geometric average of the underlying asset prices. Following Cox et al (1979) arbitrage arguments, We develop one-state variable binomial models for the options on the basis of the idea of Cheuk and Vorst (1997). The models are more efficient and faster than those lattice methods proposed by Hull and White (1993), Ritchken et al (1993), Barraquand and Pudet (1996) and Cho and Lee (1997). We also establish the equivalence of the models and difference schemes.",Min Dai,0000-0002-8270-9413,Min Dai: National University of Singapore,2003-08,Quantitative Finance,Informa UK Limited,Binomial (polynomial); Binomial options pricing model; Variable (mathematics); Econometrics; Mathematics; Trinomial tree; Asian option; Style (visual arts); Binomial distribution; Mathematical economics; State (computer science); State variable; Financial economics; Economics; Valuation of options; Statistics; Geography; Mathematical analysis; Algorithm,Stochastic processes and financial applications; Economic theories and models; Monetary Policy and Economic Impact
10.1080/14697680300000013,Innovations in trading strategies,,Izzy Nelken,,,2003-08,Quantitative Finance,Informa UK Limited,Economics; Financial economics; Trading strategy; Pairs trade; Algorithmic trading; Business; Econometrics; Alternative trading system,Regional Development and Policy
10.1080/14697680300000030,Young researchers in Berlin,,,,,2003-12-01,Quantitative Finance,Taylor & Francis,Economics; Psychology,German Social Sciences and History
10.1080/14697680400000002,Value-at-Risk-efficient portfolios for a class of super-and sub-exponentially decaying assets return distributions,,Y. Malevergne; D. Sornette,0000-0002-7787-4158; 0000-0001-7874-7962,Yannick Malevergne: École de management de Lyon,2004-02,Quantitative Finance,Informa UK Limited,Value at risk; Mathematics; Class (philosophy); Value (mathematics); Economics; Econometrics; Exponential growth; Actuarial science; Financial economics; Statistics; Mathematical economics; Risk management; Mathematical analysis; Finance; Computer science,"Risk and Portfolio Optimization; Insurance and Financial Risk Management; Insurance, Mortality, Demography, Risk Management"
10.1080/14697680400000007,Volatility process and volatility forecast with long memory,,Gilles Zumbach,,,2004-02,Quantitative Finance,Informa UK Limited,Volatility (finance); Forward volatility; Long memory; Implied volatility; Econometrics; Stochastic volatility; Volatility smile; Volatility swap; Variance swap; Economics; Volatility risk premium; Realized variance; Financial economics,Complex Systems and Time Series Analysis; Stock Market Forecasting Methods; Neural Networks and Applications
10.1080/14697680400000015,Behavioral Finance: The Closed-End Fund Puzzle,,,,,2004-02,Quantitative Finance,Informa UK Limited,Economics; Finance; Financial economics; Closed-end fund; Market liquidity,"Financial Markets and Investment Strategies; Financial Literacy, Pension, Retirement Analysis; Housing Market and Economics"
10.1080/14697680400000016,Perpetual American options with fractional Brownian motion,"In this paper, we derive a closed from solution for the value of a perpetual American option when the logreturn of a stock is driven by a fractional Brownian motion, with Hurst parameter H ↦ (0, 1). A special case of our model would be the model driven by standard Brownian motion",Robert J Elliott; Leunglung Chan,0000-0002-5486-6999; 0000-0002-8108-2049,Robert J. Elliott: University of Calgary; Leunglung Chan: University of Calgary,2004-04,Quantitative Finance,Informa UK Limited,Fractional Brownian motion; Hurst exponent; Geometric Brownian motion; Brownian motion; Mathematics; Mathematical economics; Economics; Martingale representation theorem; Stock (firearms); Statistical physics; Econometrics; Diffusion process; Applied mathematics; Physics; Statistics; Engineering,Stochastic processes and financial applications; Financial Markets and Investment Strategies; Complex Systems and Time Series Analysis
10.1080/14697680400000017,Asymptotic dynamics and value-at-risk of large diversified portfolios in a jump-diffusion market,"This paper studies the modelling of large diversified portfolios in a financial market with jump-diffusion risks. The portfolios considered include three categories: equal money-weighted portfolios, risk-minimizing portfolios and market indices. Reduced-form dynamics driven jointly by one Brownian motion and one Poisson process are derived for the asymptotics of such portfolios. We prove that derivatives written on a portfolio can be priced by treating the asymptotic dynamics as the underlying process if the number of assets in the portfolio is sufficiently large. Analytical and Monte Carlo value-at-risk can be computed for the portfolios based on their asymptotic dynamics.",Lim Kian Guan; Liu Xiaoqing; Tsui Kai Chong,,Lim Kian Guan: Singapore Management University; Liu Xiaoqing: United States Department of the Treasury; Tsui Kai Chong: Singapore Management University,2004-04,Quantitative Finance,Informa UK Limited,Jump; Jump diffusion; Economics; Diffusion; Value (mathematics); Econometrics; Dynamics (music); Value at risk; Mathematics; Financial economics; Statistical physics; Risk management; Statistics; Physics; Finance,Stochastic processes and financial applications; Financial Markets and Investment Strategies; Financial Risk and Volatility Modeling
10.1080/14697680400000018,A duscrete-time model of high-frequency stock returns,"A model of intraday financial time series is developed. The model is a dynamic factor model consisting of two equations. First, a rate of return of a 'stock' in a single day is assumed to be generated by serveral common factors plus some additive erros ('intraday equation'). Secondly, the joint distribution of those common factors is assumed to depend on the hidden state of the day, which fluctuates according to a Markov chain ('day-by-day equation'). Together the equations compose a hidden Markov model. We investigate properties of the model. Among them is a central limit theorem for cumulative returns, which agrees with the well-known empirical phenomenon in the stock markets that the distributions of longer-horizon returns are closer to the normal. We propose a two-step procedure consisting of the method of principal components and the EM algorithm to estimate the model parameters as well as the unboservable states. In addition, we propose a procedure for predicting intraday returns. Finally, the model is fitted to empirical data, the Standard&Poors 500 Index 5 min return data, to see if the model is capable of describing intraday movements of the index.",Takaki Hayashi,0000-0002-3116-8004,Takaki Hayashi: Columbia University,2004-04,Quantitative Finance,Informa UK Limited,Economics; Stock (firearms); Econometrics; Financial economics; Engineering,Financial Risk and Volatility Modeling; Market Dynamics and Volatility; Complex Systems and Time Series Analysis
10.1080/14697680400000019,On the accuracy of the local linear approximation for the term structure of interest rates,"We examine by numerical experiments the accuracy of an analytical approximation for the nonlinear term structure of interest rates, which is obtained by applying the local linear approximation to a generally specified process of the short rate. Under various short-rate models, we compare discount-bond prices computed by the approximation with those calculated by the Monte Carlo method as the benchmark, which shows that deviations are small. Also in this paper, we show that the approximation originally derived in single-factor framework can be easily extended to a multifactor counterpart. We examine the accuracy using an illustrative two-factor model, which also shows the approximation is accurate.",Hideyuki Takamizawa; Isao Shoji,0000-0002-5160-693X,Hideyuki Takamizawa: Hitotsubashi University; Isao Shoji: University of Tsukuba,2004-04,Quantitative Finance,Informa UK Limited,Term (time); Yield curve; Econometrics; Interest rate; Mathematics; Economics; Statistical physics; Mathematical economics; Applied mathematics; Physics; Finance,Stochastic processes and financial applications; advanced mathematical theories
10.1080/14697680400000020,Estimation of hyperbolic diffusion using the Markov chain Monte Carlo method,"In this paper we propose a Bayesian method to estimate the hyperbolic diffusion model. The approach is based on the Markov chain Monte Carlo (MCMC) method with the likelihood of the discretized process as the approximate posterior likelihood. We demonstrate that the MCMC method Provides a useful tool in analysing hyperbolic diffusions. In particular, quantities of posterior distributions obtained from the MCMC outputs can be used for statistical inference. The MCMC method based on the Milstein scheme is unsatisfactory. Our simulation study shows that the hyperbolic diffusion exhibits many of the stylized facts about asset returns documented in the discrete-time financial econometrics literature, such as the Taylor effect, a slowly declining autocorrelation function of the squared returns, and thick tails.",Y K Tse; Xibin Zhang; Jun Yu,0000-0001-6174-0326; 0000-0001-5813-3066; 0000-0003-2360-5873,Ying Kei Tse: Singapore Management University; Xibin Zhang: Monash University; Jun Yu: University of Auckland,2004-04,Quantitative Finance,Informa UK Limited,Markov chain Monte Carlo; Stylized fact; Mathematics; Likelihood function; Autocorrelation; Monte Carlo method; Applied mathematics; Markov chain; Bayesian probability; Bayesian inference; Diffusion; Econometrics; Algorithm; Statistics; Estimation theory; Economics; Physics,Stochastic processes and financial applications; Financial Risk and Volatility Modeling; Fluid Dynamics and Turbulent Flows
10.1080/14697680400000021,Pricing Asian options in a semimartingale model,"In this paper we studyy arithmetic Asian options when the underlying stock is driven by special semimartingale processes. We show that the inherently path dependent problem of pricing Asian options can be transformed into a problem without path dependence in the payoff function. We also show that the price is driven by a process with independent increments, Levy processes being a special case. This approach applies for both discretely or continuously options.",Jan Vecer; Mingxin Xu,0000-0002-1501-4646,Jan Večeř: Columbia University; Mingxin Xu: Carnegie Mellon University,2004-04,Quantitative Finance,Informa UK Limited,Semimartingale; Asian option; Exotic option; Stochastic game; Path dependent; Economics; Path (computing); Mathematical economics; Valuation of options; Econometrics; Lévy process; Financial economics; Mathematics; Computer science; Applied mathematics,Stochastic processes and financial applications; Economic theories and models; Financial Risk and Volatility Modeling
